name,url,birthplace,
Cam Barker',http://sportsforecaster.com/nhl/player/4498,,
Cam Johnson',http://sportsforecaster.com/nhl/player/16903,,
Cam MacIntyre',http://sportsforecaster.com/nhl/player/2878,,
Cam Severson',http://sportsforecaster.com/nhl/player/1315,,
Cam Ward',http://sportsforecaster.com/nhl/player/2838,,
Cameron Gaunce',http://sportsforecaster.com/nhl/player/6701,,
Cameron Reid',http://sportsforecaster.com/nhl/player/7732,,
Cameron Schilling',http://sportsforecaster.com/nhl/player/8706,,
Carl Klingberg',http://sportsforecaster.com/nhl/player/7669,,
Carl Neill',http://sportsforecaster.com/nhl/player/10704,,
Carl Sneep',http://sportsforecaster.com/nhl/player/5739,,
